Markersbach C;Vattenfall Wasserkraft GmbH;SN;08352 ;Markersbach;175,0;;1980;PSW;Wasser
Markersbach D;Vattenfall Wasserkraft GmbH;SN;08352 ;Markersbach;175,0;;1981;PSW;Wasser
Markersbach E;Vattenfall Wasserkraft GmbH;SN;08352 ;Markersbach;175,0;;1981;PSW;Wasser
Markersbach F;Vattenfall Wasserkraft GmbH;SN;08352 ;Markersbach;175,0;;1980;PSW;Wasser
Marl I+II;Infracor GmbH;NW;45772;Marl;197,9;823,0;1971 / 1983 / 2016;IKW / HKW / GuD;Steinkohle, Erdgas
Marl III;Infracor GmbH;NW;45772;Marl;186,0;390,0;1974 (2003/05);IKW / GuD;Erdgas
Meerwind Süd/Ost;WindMW GmbH;Offshore;;Nordsee;288,0;;2014;WEA;Wind (O)
Mehrum 3 (C);Kraftwerk Mehrum GmbH / EPH;NI;31249 ;Hohenhameln;750,0;n.b.;1979 (2003);DKW;Steinkohle
München-Nord 2;StW München;BY;85774;Unterföhring;365,0;550,0;1991;HKW;Steinkohle
München-Süd GuD 1;StW München;BY;81371;München;280,0;260,0;1980;HKW / GuD;Erdgas
München-Süd GuD 2;StW München;BY;81371;München;417,0;463,0;2004;HKW / GuD;Erdgas
Münster/Hafen I;StW Münster;NW;48155 ;Münster;104,0;120,0;1977 (2005);HKW / GuD;Erdgas
Neckarwestheim 2 GKN;EnBW Kernkraft GmbH;BW;74382;Neckarwestheim;1400,0;;1989;DWR;Uran
Neuhardenberg;Solarhybrid AG;BB;15320;Neuhardenberg;145,0;;2012;PV;Licht
Niederaußem C;RWE Power AG;NW;50129 ;Bergheim;335,0;;1965;DKW;Braunkohle
Niederaußem D;RWE Power AG;NW;50129 ;Bergheim;320,0;;1968;DKW;Braunkohle
Niederaußem E;RWE Power AG;NW;50129 ;Bergheim;315,0;;1970;DKW;Braunkohle
Niederaußem F;RWE Power AG;NW;50129 ;Bergheim;320,0;;1971;DKW;Braunkohle
Niederaußem G;RWE Power AG;NW;50129 ;Bergheim;687,0;245,0;1974 (2008);DKW;Braunkohle
Niederaußem H;RWE Power AG;NW;50129 ;Bergheim;687,0;;1974 (2009);DKW;Braunkohle
Niederaußem K (BoA 1) ;RWE Power AG;NW;50129 ;Bergheim;1012,0;;2002;DKW;Braunkohle
Nordergründe;WPD AG;Offshore;;Nordsee;110,7;;2017;WEA;Wind (O)
Nordsee 1;Northland Power / RWE Innogy;Offshore;;Nordsee;332,1;;2017;WEA;Wind (O)
Nordsee Ost;RWE Innogy GmbH;Offshore;;Nordsee;295,2;;2015;WEA;Wind (O)
Nürnberg - Sandreuth;N-ERGIE AG;BY;90441;Nürnberg;225,0;320,0;2005;HKW / GuD;Erdgas
Obernburg;Kraftwerk Obernburg GmbH;BY;63784;Obernburg;110,0;112,0;1996;IKW / GuD;Erdgas
Ostermarsch;Windpark Ostermarsch;NI;26506;Norden;104,5;;2004-2010;WEA;Wind (L)
Philippsburg 2 (KKP);EnBW Kernkraft GmbH;BW;76661;Philippsburg;1468,0;;1985;DWR;Uran
Plattling;Kraftwerk Plattling GmbH / Daimler AG;BY;94447;Plattling;125,0;150,0;2010;IKW / GuD;Erdgas
Putlitz;WKN Windkraft Nord AG;BB;16949;Putlitz;139,0;;2004;WEA;Wind (L)
Quierschied-Weiher;Steag Power Saar GmbH;SL;66287;Quierschied;724,0;30,0;1976;DKW;Steinkohle
Reisach 1 bis 3;Engie Deutschland AG;BY;92555;Trausnitz;106,4;;1955;PSW;Wasser
Reußenköge I-VIII;Bürgerwindpark Reußenköge GmbH & Co. KG;SH;25821;Reußenköge;305,3;;2008-2016;WEA;Wind (L)
RH2-WKA (Grapzow);WIND-WASSERSTOFF-projekt GmbH;MV;17089;Grapzow;144,0;;2013;WEA;Wind (L)
Rheinberg;Solvay Chemicals GmbH;NW;47495;Rheinberg;133,0;n.b.;1975 / 1996;HKW / G/AK;Steinkohle, Erdgas
